<ανά>γνωστος|n28659
γηρόκομος|n22152
γηρότροφος|n22157
γηρόω|n22159
γηρύω|n22164
γητικά|n22168
γητομέω|n22169
γηφάγος|n22171
γηφαγέω|n22170
γηφοριών|n22172
γιγάντειος|n22175
γιγάντιος|n22178
γιγαντία|n22176
γιγαντιάς|n22177
γιγαντολέτης|n22179
γιγαντομαχία|n22180
γιγαντοφθόρος|n22182
γιγαντοφόνος|n22183
γιγαντοφόντις|n22184
γιγαντόραιστος|n22181
γιγαντώδης|n22185
γιγαρτίς|n22186
γιγαρτώδης|n22188
γιγαρτώνιον|n22189
γιγγίδιον|n22191
γιγγίς|n22192
γιγγλίαν|n22194
γιγγλισμός|n22195
γιγγλυμοειδής|n22198
γιγγλυμωτός|n22202
γιγγλυμόομαι|n22199
γιγγλυμώδης|n22201
γιγγλύμιον|n22197
γιγγράινος|n22203
γιγγρί|n22207
γιγγρίας|n22208
γιγγραντός|n22204
γιγγρασμός|n22206
γιγνώσκω|n22210
γιζί|n22211
γιλός|n22212
γλάγος|n22221
γλάζω|n22223
γλάματα|n22228
γλάμων|n22235
γλάνις|n22236
γλάνος|n22238
γλάξ|n22239
γλάσσα|n22241
γλάφυ|n22279
γλάφω|n22283
γλάχων|n22284
γλέβα|n22285
γλήν|n22295
γλήνη|n22296
γλήχων|n22301
γλία|n22304
γλίνη|n22306
γλίον|n22308
γλίσχρασμα|n22311
γλίσχρος|n22316
γλίσχρων|n22320
γλίττον|n22321
γλίχομαι|n22322
γλαγάω|n22216
γλαγέας|n22217
γλαγερός|n22218
γλαγοπήξ|n22220
γλαγόεις|n22219
γλαγότροφος|n22222
γλαινοί|n22224
γλακτοπαγής|n22225
γλακτοφάγος|n22226
γλακτοφόρος|n22227
γλαμάω|n22229
γλαμυξιάω|n22231
γλαμυρός|n22232
γλαμψοί|n22233
γλαμός|n22230
γλαμώδης|n22234
γλανοί|n22237
γλαρίς|n22240
γλαυκία|n22244
γλαυκίδανον|n22247
γλαυκίδιον|n22248
γλαυκίζω|n22249
γλαυκίσκος|n22253
γλαυκειοῦς|n22242
γλαυκηπόρος|n22243
γλαυκιάω|n22246
γλαυκινίδιον|n22250
γλαυκισμός|n22254
γλαυκοειδής|n22255
γλαυκοφόρβιδας|n22261
γλαυκοχαίτης|n22262
γλαυκωπός|n22271
γλαυκόμματος|n22256
γλαυκόν|n22245
γλαυκός1|n22257
γλαυκός|n22257
γλαυκότης|n22259
γλαυκόφθαλμος|n22260
γλαυκόχροος|n22263
γλαυκόω|n22264
γλαυκώ|n22265
γλαυκώδης|n22266
γλαυκώλενος|n22267
γλαυκώπιον|n22269
γλαυκώψ|n22273
γλαυκῶπις|n22270
γλαυνός|n22274
γλαυρόν|n22276
γλαφίς|n22278
γλαφυρία|n22280
γλαφυρός|n22281
γλαφυρότης|n22282
γλαύκινος|n22251
γλαύκιον|n22252
γλαύκωμα|n22268
γλαύκωσις|n22272
γλαύξ|n22275
γλαύσσω|n22277
γλαῦκος2|n22258
γλαῦκος|n22258
γλευκάω|n22287
γλευκίτης|n22290
γλευκαγωγός|n22286
γλευκοπότης|n22291
γλεύκη|n22288
γλεύκινος|n22289
γλεῦκος|n22292
γλεῦξις|n22293
γλημώδης|n22294
γληνίς|n22297
γληνοειδής|n22298
γληνῶσαι|n22300
γληχωνίτης|n22302
γληχωνοειδές|n22303
γλισχρία|n22313
γλισχραίνομαι|n22309
γλισχραντιλογεξεπίτριπτος|n22310
γλισχρεύομαι|n22312
γλισχρολογέομαι|n22314
γλισχρολογία|n22315
γλισχρότης|n22317
γλισχρόχολος|n22318
γλισχρώδης|n22319
γλιχός|n22323
γλιχύτης|n22324
γλιᾶται|n22305
γλοία|n22326
γλοηρὸν|n22325
γλοιάζω|n22327
γλοιάς|n22328
γλοιοποιέομαι|n22330
γλοιοπότις|n22331
γλοιόομαι|n22329
γλοιός|n22332
γλοιώδης|n22333
γλουρός|n22334
γλουτός|n22336
γλούτια|n22335
γλυκάδιον|n22337
γλυκάζω|n22338
γλυκάνισον|n22340
γλυκέλαιον|n22347
γλυκή|n22351
γλυκήρατον|n22352
γλυκίζω|n22353
γλυκίνας|n22354
γλυκαίνω|n22339
γλυκαντικός|n22342
γλυκασμός|n22344
γλυκείδιον|n22345
γλυκεροστάφυλος|n22349
γλυκερός|n22348
γλυκερόχρως|n22350
γλυκισμός|n22356
γλυκυδερκής|n22360
γλυκυδρόμος|n22362
γλυκυηχής|n22364
γλυκυθυμέω|n22365
γλυκυθυμία|n22366
γλυκυκάλαμον|n22368
γλυκυκαρπέω|n22369
γλυκυμή|n22377
γλυκυμήχανος|n22375
γλυκυμαρίδες|n22374
γλυκυμείλιχος|n22376
γλυκυμυθέω|n22379
γλυκυπάρθενος|n22383
γλυκυπράτιον|n22386
γλυκυπότης|n22385
γλυκυσίδη|n22390
γλυκυφαγία|n22394
γλυκυφωγέω|n22400
γλυκυφωνία|n22401
γλυκόεις|n22358
γλυκύδακρυς|n22359
γλυκύδιον|n22361
γλυκύδωρος|n22363
γλυκύθυμος|n22367
γλυκύκαρπος|n22370
γλυκύκρεος|n22371
γλυκύλαλος|n22372
γλυκύλογος|n22373
γλυκύμηλον|n22378
γλυκύμυθος|n22380
γλυκύνους|n22381
γλυκύπαις|n22382
γλυκύπικρος|n22384
γλυκύπυρος|n22387
γλυκύρριζα|n22388
γλυκύς|n22389
γλυκύστρυφνος|n22392
γλυκύτης|n22393
γλυκύφαιον|n22395
γλυκύφθογγος|n22396
γλυκύφρουροι|n22397
γλυκύφυλλον|n22398
γλυκύφυτον|n22399
γλυκύφωνος|n22402
γλυκύχυλος|n22403
γλυκύχυμος|n22404
γλυκώνειος|n22406
γλυμός|n22408
γλυπτήρ|n22410
γλυπτικός|n22412
γλυπτός|n22413
γλυφή|n22418
γλυφίς|n22420
γλυφευτής|n22417
γλυφεύς|n22416
γλυφεῖον|n22415
γλυφικός|n22419
γλωρεῖν|n22424
γλωσσάομαι|n22430
γλωσσάριον|n22431
γλωσσίδιον|n22435
γλωσσίδος|n22436
γλωσσαλγέω|n22426
γλωσσαλγία|n22428
γλωσσαργέω|n22427
γλωσσηματικός|n22434
γλωσσογάστωρ|n22437
γλωσσογράφος|n22438
γλωσσοειδής|n22439
γλωσσοκάτοχον|n22440
γλωσσοκηλόκομπος|n22441
γλωσσοκομεῖον|n22442
γλωσσοποιία|n22444
γλωσσοπωγώνιον|n22445
γλωσσοστροφεῖν|n22447
γλωσσοτέχνης|n22448
γλωσσοτομέω|n22450
γλωσσοχαριτέω|n22451
γλωσσόκομος|n22443
γλωσσός|n22446
γλωσσότμητος|n22449
γλωσσώδης|n22452
γλωττήν|n22454
γλωττίζω|n22455
γλωττίς|n22457
γλωττικός|n22456
γλωττισμός|n22458
γλωττοδεψέω|n22459
γλωττοειδής|n22460
γλωττοποιέω|n22461
γλωττοστροφέω|n22462
γλωχίν|n22463
γλωχινωτός|n22464
γλύκανσις|n22341
γλύκασμα|n22343
γλύκειος|n22346
γλύκιος|n22355
γλύκκα|n22357
γλύκυσμα|n22391
γλύκων|n22405
γλύμμα|n22407
γλύξις|n22409
γλύπτης|n22411
γλύφανος|n22414
γλύφω|n22421
γλώνη|n22422
γλώξ|n22423
γλώσσαλγος|n22429
γλώσσασπις|n22432
γλώσσημα|n22433
γλῆνος|n22299
γλῖνος|n22307
γλῶσσα|n22425
γλῶττα|n22453
γνάθος|n22467
γνάθων|n22469
γνάμπτω|n22473
γνάπτωρ|n22476
γνάφαλλον|n22480
γνάφαλον|n22477
γνάφαλος|n22481
γνάψις|n22482
γνήσιος|n22483
γνίς|n22485
γνίφων|n22486
γνα<π>ταὶ|n22475
γναθ|n22466
γναθμός|n22465
γναθόω|n22468
γναθώνειος|n22470
γναμπτήρ|n22471
γναμπτός|n22472
γναμφαί|n22474
γναφάδιον|n22478
γναφάλλιον|n22479
γνησιότης|n22484
γνοίσαι|n22487
γνοφίας|n22488
γνοφόω|n22490
γνοφώδης|n22491
γνυπεσόν|n22494
γνυφαί|n22496
γνωμίδιον|n22505
γνωμανάδοχος|n22498
γνωματευτής|n22499
γνωματεύω|n22500
γνωμεισηγητής|n22501
γνωμηδόν|n22503
γνωμηστός|n22504
γνωμικός|n22506
γνωμοδοτέω|n22507
γνωμολογέω|n22508
γνωμολογία|n22510
γνωμολογητέον|n22509
γνωμολογικός|n22511
γνωμονεύω|n22512
γνωμονικός|n22513
γνωμοσύνη|n22515
γνωμοτυπέω|n22516
γνωμοτυπία|n22517
γνωμοτυπικός|n22518
γνωμοτύπος|n22519
γνωμοφλυακέω|n22520
γνωμόνιον|n22514
γνωρίζω|n22522
γνωριμότης|n22524
γνωρισμός|n22527
γνωριστέον|n22528
γνωριστής|n22529
γνωριστικός|n22530
γνωσιγραφία|n22531
γνωσιδίκα|n22532
γνωσιμαχέω|n22533
γνωσιμαχία|n22534
γνωστέον|n22538
γνωστήρ|n22540
γνωστεία|n22537
γνωστεύω|n22539
γνωστικός|n22542
γνωστοποιός|n22543
γνωστός|n22544
γνωτέρα|n22545
γνωτοφόνος|n22548
γνωτός1|@
γνωτός2|@
γνωτός|@
γνόφος|n22489
γνύθος|n22492
γνύξ|n22493
γνύπετος|n22495
γνώμη|n22502
γνώμων|n22521
γνώριμος|n22523
γνώρισις|n22525
γνώρισμα|n22526
γνώστης|n22541
γνῶμα|n22497
γνῶσις|n22535
γνῶσμα|n22536
γοάω|n22549
γοήμεναι|n22583
γοήμων|n22584
γοήτευμα|n22589
γοήτευσις|n22590
γοβρίαι|n22550
γογγρίον|n22551
γογγροειδής|n22552
γογγροκτόνος|n22553
γογγρύζω|n22555
γογγρώδης|n22556
γογγρώνη|n22557
γογγυλάτης|n22559
γογγυλίδιον|n22561
γογγυλίζω|n22562
γογγυλίς|n22563
γογγυλοειδής|n22565
γογγυλοσπάραγον|n22567
γογγυλωπός|n22572
γογγυλωτόν|n22573
γογγυλόρυγχος|n22566
γογγυλόσκηνος|n22569
γογγυλώδης|n22570
γογγυλώματα|n22571
γογγυσμός|n22575
γογγυστής|n22577
γογγυστικός|n22578
γογγύζω|n22558
γογγύλη|n22560
γογγύλλω|n22564
γογγύλος|n22568
γοδοῦλος|n22598
γοεδνός|n22580
γοερός|n22581
γοηρός|n22585
γοησίοδος|n22587
γοητής|n22594
γοητεία|n22588
γοητευτικός|n22591
γοητεύτρια|n22592
γοητεύω|n22593
γοητικός|n22595
γολονά|n22599
γομάριον|n22600
γομοφόρος|n22603
γομφάριον|n22606
γομφίασις|n22608
γομφίος|n22611
γομφίτης|n22612
γομφαλγία|n22605
γομφιάζω|n22607
γομφιασμός|n22609
γομφιόδουπος|n22610
γομφοπαγής|n22614
γομφωτήρ|n22619
γομφωτήριον|n22620
γομφωτικός|n22621
γομφωτός|n22622
γομφόδετος|n22613
γομφόω|n22616
γομόω|n22604
γονάρ|n22624
γονάτιον|n22626
γονάω|n22630
γονή|n22635
γονής|n22637
γονίας|n22640
γονατίζω|n22625
γονατόδεσμος|n22627
γονατόομαι|n22628
γονατώδης|n22629
γονεά|n22631
γονεία|n22632
γονεύς|n22633
γονεύω|n22634
γονιαῖος|n22639
γονικόθεν|n22641
γονικός|n22642
γονιμότης|n22644
γονιμώδης|n22645
γονοειδής|n22646
γονοκτονέω|n22648
γονοκτονία|n22649
γονοποιέω|n22650
γονοποιία|n22651
γονοπώτης|n22652
γονορροικός|n22654
γονορρυέω|n22655
γονορρυής|n22656
γονοτύλη|n22659
γονυαλγής|n22661
γονυκαμψεπίκυρτος|n22662
γονυκαυσαγρύπνα|n22663
γονυκλινέω|n22664
γονυκλινής|n22665
γονυκλιτέω|n22666
γονυπετέω|n22668
γονυπετής|n22669
γονυπλήξ|n22670
γονόεις|n22647
γονόρροια|n22653
γονύκροτος|n22667
γονώδης|n22671
γονώνη|n22672
γοράπιες|n22674
γοργάς|n22675
γοργία|n22678
γοργίειος|n22680
γοργεύω|n22677
γοργιάζω|n22679
γοργολόφας|n22681
γοργονεία|n22682
γοργονώδης|n22686
γοργοτομία|n22691
γοργοφόνος|n22693
γοργωπός|n22696
γοργόνειος|n22683
γοργόνη|n22684
γοργόνιον|n22685
γοργόνωτος|n22687
γοργόομαι|n22688
γοργός|n22689
γοργότης|n22690
γοργόφθαλμος|n22692
γοργώ|n22695
γοργώψ|n22697
γοργώψατο|n22698
γορπιαῖος|n22701
γορυνίας|n22703
γορφία|n22704
γορός|n22700
γοτάν|n22705
γουβενάριον|n22706
γουβικός|n22707
γουνάζομαι|n22710
γουνιαῖος|n22713
γουνοίζω|n22733
γουνοιστί|n22734
γουνοπαχής|n22715
γουνόομαι|n22714
γουνός|n22716
γους|n42116
γουττᾶτον|n22719
γούνασμα|n22711
γούνατα|n22712
γούντη|n22717
γοώδης|n22720
γοῖ|n22596
γοῖδα|n22597
γοῦν|n22708
γοῦνα|n22709
γοῦρος|n22718
γράα|n22722
γράβδην|n22724
γράβιον|n22726
γράζα|n22727
γράμμα|n22739
γράπις|n22792
γράπτης|n22796
γράπτρα|n22798
γράσθι|n22800
γράσος|n22801
γράσσμα|n22802
γράστις|n22805
γράσων|n22806
γράφημα|n22815
γράφος|n22824
γράφω|n22825
γράω|n22828
γρήγορσις|n22835
γρήιος|n22836
γρήνη|n22837
γρίντης|n22841
γρίπισμα|n22848
γρίπων|n22850
γρίσων|n22851
γραίδιον|n22730
γραίζω|n22731
γραίνω|n22735
γραίς|n22737
γραβάν|n22723
γραβδίς|n22725
γραιβία|n22729
γραικός|n22732
γραιωπίας|n22738
γραιόομαι|n22736
γραμμάριον|n22741
γραμμάτιον|n22756
γραμμή|n22773
γραμμίζω|n22775
γραμμαθέπτα|n22740
γραμματίας|n22750
γραμματίδιον|n22751
γραμματίζω|n22752
γραμματεία|n22742
γραμματείδιον|n22743
γραμματειδιοποιός|n22744
γραμματευτά|n22747
γραμματεύς|n22746
γραμματεύω|n22748
γραμματεῖον|n22745
γραμματηφόρος|n22749
γραμματικεύομαι|n22753
γραμματικομάστιξ|n22754
γραμματικός|n22755
γραμματισμός|n22757
γραμματιστής|n22758
γραμματιστική|n22759
γραμματοδιδάσκαλος|n22761
γραμματοδιδασκαλεῖον|n22760
γραμματοειδής|n22762
γραμματοεισαγωγεύς|n22764
γραμματοκύφων|n22765
γραμματολικριφίς|n22766
γραμματοπίναξ|n22767
γραμματοφορέω|n22768
γραμματοφυλάκιον|n22771
γραμματοφυλακεῖον|n22770
γραμματοφόρος|n22769
γραμματοφύλαξ|n22772
γραμματόεις|n22763
γραμμιαῖος|n22774
γραμμικός|n22776
γραμμιστήρ|n22777
γραμμιστός|n22778
γραμμοδιδασκαλίδης|n22779
γραμμοειδής|n22780
γραμμοποίκιλος|n22781
γραμμοτόκος|n22783
γραμμός|n22782
γραμμώδης|n22784
γρανθέωνα|n22785
γραολογία|n22786
γραοσυλλέκτρια|n22788
γραοσόβης|n22787
γραοτρεφής|n22789
γραπίνης|n22791
γραπτέον|n22793
γραπτήρ|n22795
γραπτεύς|n22794
γραπτός|n22797
γραπτύς|n22799
γραστίζω|n22803
γραστισμός|n22804
γρασωνία|n22807
γραφή|n22814
γραφής|n22816
γραφία|n22817
γραφίς|n22821
γραφίσκος|n22822
γραφείδιον|n22811
γραφεύς|n22813
γραφεῖον|n22812
γραφικός|n22818
γραφιοειδής|n22819
γραφιοθήκη|n22820
γραφοειδής|n22823
γραψαῖος|n22826
γραψείω|n22827
γραόφιλος|n22790
γραύκαλας|n22809
γραώδης|n22829
γραῖα|n22728
γραῦις|n22808
γραῦς|n22810
γρεῦς|n22830
γρηγορέω|n22831
γρηγορία|n22833
γρηγορικός|n22834
γρηγόρησις|n22832
γρηῦς|n22839
γριπάομαι|n22842
γριπέω|n22845
γριπίζω|n22847
γριπεύς|n22843
γριπεύω|n22844
γριπηὶς|n22846
γριτή|n22852
γριφεύω|n22854
γριφοειδής|n22855
γριφοπλόκος|n22856
γριφότης|n22858
γριφώδης|n22859
γριφᾶσθαι|n22853
γρομφάζω|n22860
γρονθάριον|n22861
γρονθοκοπῶ|n22862
γρονθονεύεται|n22863
γροσφομάχος|n22869
γροσφοφόρος|n22871
γρουνός|n22873
γροφά|n22875
γροφίς|n22878
γροφίων|n22887
γροφεύς|n22876
γροφεύω|n22877
γροφισμός|n22886
γρούσσεται|n22874
γροῦμος|n22872
γρυήλιον|n22883
γρυβός|n22881
γρυκτός|n22884
γρυλίζω|n22885
γρυλλισμός|n22889
γρυλλογραφέω|n22890
γρυμέα|n22893
γρυμπάνειν|n22894
γρυνόν|n22896
γρυνός1|n22897
γρυνός|n22897
γρυπάετος|n22900
γρυπάνιος|n22904
γρυπή|n22905
γρυπαίνω|n22901
γρυπαλώπηξ|n22902
γρυπανίζω|n22903
γρυπνόν|n22906
γρυπόομαι|n22907
γρυπός|n22908
γρυπότης|n22909
γρυσμός|n22912
γρυτάριον|n22913
γρυτεύεται|n22914
γρυτοδόκη|n22916
γρυτοπωλεῖον|n22917
γρυτοπώλης|n22918
γρωθύλοι|n22920
γρόνθος|n22864
γρόνθων|n22865
γρόππα|n22866
γρόπτος|n22867
γρόσυνον|n22868
γρόσφος|n22870
γρόφω|n22879
γρύζω|n22882
γρύλλη|n22888
γρύλλος|n22891
γρύνη|n22895
γρύξ|n22899
γρύπτω|n22910
γρύπωσις|n22911
γρύτη|n22915
γρύψ|n22919
γρᾶ|n22721
γρῆνος|n22838
γρῖνος|n22840
γρῖπος|n22849
γρῖφος|n22857
γρῦ|n22880
γρῦλος|n22892
γρῦνος2|n22898
γρῦνος|n22898
γρῶνος|n22921
γυάλας|n22923
γυέλιον|n22931
γυήτης|n22933
γυίδαμος|n22940
γυίζω|n22938
γυίκολλος|n22942
γυαλοθώραξ|n22924
γυβερνήτης|n22928
γυβᾷ|n22927
γυγαί|n22929
γυθίσσων|n22934
γυιαλθής|n22935
γυιαλκής|n22936
γυιαρκής|n22937
γυιβόρος|n22939
γυιδόνητος|n22941
γυιοπέδη|n22945
γυιοπαγής|n22944
γυιοτακής|n22947
γυιοῦχος|n22948
γυιός|n22946
γυιόχαλκος|n22949
γυιόω|n22950
γυλάριον|n22951
γυλίσκος|n22954
γυλιαύχην|n22952
γυλιός|n22953
γυλλάς|n22955
γυλλός|n22956
γυμνάδδομαι|n22957
γυμνάζω|n22958
γυμνάς|n22959
γυμνάσιον|n22968
γυμνής|n22977
γυμνήσιαι|n22978
γυμνήσιοι|n22979
γυμνήτης|n22982
γυμνασία|n22960
γυμνασίαρχος|n22966
γυμνασίδιον|n22967
γυμνασιάρχης|n22962
γυμνασιαρχέω|n22961
γυμνασιαρχία|n22963
γυμνασιαρχίς|n22965
γυμνασιαρχικός|n22964
γυμνασιώδης|n22970
γυμναστέον|n22972
γυμναστήριον|n22973
γυμναστής|n22974
γυμναστικός|n22975
γυμνηλός|n22976
γυμνητεία|n22980
γυμνητεύω|n22981
γυμνητικός|n22983
γυμνικός|n22985
γυμνοδερκέομαι|n22986
γυμνοκοχλίας|n22988
γυμνοπαιδίαι|n22989
γυμνοπαιδική|n22990
γυμνοπερίβολος|n22991
γυμνοποδέω|n22992
γυμνοπόδης|n22993
γυμνοπόδιον|n22994
γυμνορρύπαρος|n22996
γυμνοσάνδαλος|n22998
γυμνοσοφισταί|n22999
γυμνοσπέρματος|n23000
γυμνοφανής|n23002
γυμνωτέος|n23006
γυμνόκαρπος|n22987
γυμνόπους|n22995
γυμνός|n22997
γυμνότης|n23001
γυμνόχρους|n23003
γυμνόω|n23004
γυνή|n23069
γυναίκιον|n23018
γυναίκισις|n23019
γυναικάδελφος|n23007
γυναικάνηρ|n23008
γυναικάνθη|n23009
γυναικάριον|n23010
γυναικήιος|n23013
γυναικίας|n23015
γυναικίζω|n23016
γυναικίσκιον|n23020
γυναικεραστέω|n23012
γυναικεῖος|n23011
γυναικηρός|n23014
γυναικικός|n23017
γυναικισμός|n23021
γυναικιστί|n23022
γυναικοήθης|n23027
γυναικογήρυτος|n23024
γυναικοδίδακτος|n23025
γυναικοειδής|n23026
γυναικοθοίνας|n23028
γυναικοιέραξ|n23030
γυναικοκράτητος|n23035
γυναικοκρασία|n23033
γυναικοκρατέομαι|n23034
γυναικοκτόνος|n23037
γυναικομανέω|n23038
γυναικομανής|n23039
γυναικομανία|n23040
γυναικονομέω|n23044
γυναικονομία|n23045
γυναικονόμος|n23046
γυναικοπίπης|n23048
γυναικοπαθέω|n23047
γυναικοπληθής|n23049
γυναικοπρεπής|n23051
γυναικοπρεπώδης|n23052
γυναικοπρόσωπος|n23053
γυναικουφή|n23055
γυναικοφίλης|n23056
γυναικοφυής|n23059
γυναικοφόνος|n23057
γυναικωνῖτις|n23065
γυναικόβουλος|n23023
γυναικόθυμος|n23029
γυναικόκλωψ|n23031
γυναικόκοσμοι|n23032
γυναικόμασθος|n23041
γυναικόμιμος|n23042
γυναικόμορφος|n23043
γυναικόποινος|n23050
γυναικότροφος|n23054
γυναικόφρων|n23058
γυναικόφωνος|n23060
γυναικόψυχος|n23061
γυναικόω|n23062
γυναικώδης|n23063
γυναικών|n23064
γυναιμανής|n23066
γυπάριον|n23075
γυπαιεύς|n23073
γυπαλέκτωρ|n23074
γυπιάς|n23078
γυπιαῖος|n23077
γυπογίγας|n23080
γυποειδής|n23081
γυπόν|n23082
γυπώδης|n23083
γυράλεος|n23085
γυρίνη|n23090
γυρίτης|n23097
γυργαθίον|n23086
γυργαθός|n23087
γυρεύω|n23088
γυρητόμος|n23089
γυρινώδης|n23092
γυριστήριον|n23095
γυριστός|n23096
γυροδρόμος|n23098
γυροειδής|n23099
γυρτεύς|n23105
γυρωτέον|n23107
γυρόθεν|n23100
γυρόμαντις|n23101
γυρός1|n23102
γυρός|n23102
γυρόω|n23104
γυρῖνος|n23091
γυψίζω|n23112
γυψίον|n23115
γυψεμπλαστής|n23110
γυψεμπλαστικός|n23111
γυψική|n23113
γυψισμός|n23116
γυψοειδής|n23117
γυψωτής|n23122
γυψωτός|n23123
γυψόω|n23119
γυψώδης|n23120
γυῖον|n22943
γωγγάμη|n23125
γωλεός|n23126
γωλιός|n23127
γωνία|n23129
γωνίδιον|n23134
γωνίωμα|n23144
γωνίωσις|n23145
γωνιάζω|n23130
γωνιακός|n23132
γωνιασμός|n23133
γωνιαῖος|n23131
γωνιοβόμβυξ|n23135
γωνιοειδής|n23136
γωνιοποιέομαι|n23138
γωνιφόρια|n23165
γωνιωτός|n23146
γωνιόομαι|n23137
γωνιόπουν|n23140
γωνιόπους|n23139
γωνιόφυλλος|n23142
γωνιώδης|n23143
γωνοειδής|n23147
γωρυτός|n23149
γόγγρος|n22554
γόγγυσις|n22574
γόγγυσος|n22576
γόγγων|n22579
γόης|n22586
γόμνη|n22601
γόμος|n22602
γόμφος|n22615
γόμφωμα|n22617
γόμφωσις|n22618
γόμωσις|n22623
γόνημα|n22636
γόνθος|n22638
γόνιμος|n22643
γόνον|n22657
γόνος|n22658
γόνυ|n22660
γόος|n22673
γόργειος|n22676
γόργυρα|n22694
γόριλλαι|n22699
γόρτυξ|n22702
γύαια|n22922
γύαλον|n22925
γύαλος|n22926
γύγης|n22930
γύης|n22932
γύμνασις|n22969
γύμνασμα|n22971
γύμνητις|n22984
γύμνωσις|n23005
γύναιος|n23067
γύνανδρος|n23068
γύννις|n23070
γύον|n23071
γύος|n23072
γύπη|n23076
γύπινος|n23079
γύπωνες|n23084
γύριος|n23093
γύρωσις|n23106
γύψ|n23109
γύψινος|n23114
γύψος|n23118
γύψωσις|n23121
γώνιος|n23141
γώψ|n23150
γᾶ2|n21359
γᾶ|n21359
γᾶμεν|n21552
γᾶν|n21591
γῄτης|n22167
γῆ|n22100
γῆθεν|n22107
γῆθος|n22110
γῆμα|n22120
γῆρας2|n22141
γῆρας|n22141
γῆρος|n22153
γῆρυς|n22163
γῦρις|n23094
γῦρος2|n23103
γῦρος|n23103
γῦς|n23108
γῶ|n23124
γῶν|n23128
γῶνοπ|n23148
δ|n23151
δάγκολον|n23156
δάγμα|n23157
δάγμνος|n23158
δάειρα|n23184
δάης|n23194
δάθεα|n23195
δάιος|n23245
δάις2|n23249
δάις|n23249
δάκαρ|n23274
δάκια|n23277
δάκνω|n23283
δάκος|n23285
δάκρυ|n23287
δάκρυμα|n23289
δάκρυον|n23292
δάκτυλος|n23332
δάλα|n23335
δάλιδας|n23339
δάλιος|n23341
δάλτος|n23349
δάμαλις|n23358
δάμαλος|n23361
δάμαρ|n23363
δάμασις|n23371
δάμεια|n23386
δάμνημι|n23395
δάμνιππος|n23397
δάν|@
δάναιε|n23412
δάνας|n23416
δάνδαλος|n23418
δάνειον|n23422
δάνεισμα|n23423
δάνος1|@
δάνος2|@
δάνος|@
δάντα|n23434
δάξ|n23435
δάξα|n23436
δάος|n23439
δάοχος|n23441
δάπακες|n23442
δάπανος|n23452
δάπεδον|n23455
δάπης|n23456
δάπις|n23459
δάπτης|n23460
δάπτω|n23461
δάρατος|n23462
δάρδα|n23463
δάρδανος|n23464
δάρειρ|n23469
δάρκα|n23472
δάρκανος|n23473
δάρκες|n23474
δάρμα|n23476
δάροσος|n23478
δάρσις|n23479
δάρτης|n23480
δάρτινον|n23481
δάρυλλος|n23483
δάς|n23484
δάσκιλλος|n23486
δάσκιος|n23487
δάσμα|n23489
δάσμευσις|n23490
δάσομαι|n23498
δάσος|n23499
δάσοφρυς|n23500
δάσσα|n23503
δάσσω|n23504
δάσυθριξ|n23508
δάσυμα|n23516
δάτησις|n23540
δάφνη|n23560
δάφνινος|n23571
δάφνιος|n23572
δάφνκοκκον|n23578
δάφνκομος|n23580
δάφνος|n23582
δάχανος|n23590
δάψιλδε|n23597
δάω|n23595
δέ1|n23596
δέ|n23596
δέατο|n23599
δέατος|n23600
δέγμενος|n23601
δέγμον|n23602
δέδηε|n23607
δέδια|n23610
δέδμημαι|n23617
δέδορκα|n23621
δέελος|n23624
δέημα|n23625
δέημος|n23627
δέησις|n23628
δέκα|n23799
δέκανδρος|n23851
δέκατος|n23913
δέκομαι|n23937
δέκοτος|n23938
δέκτης|n23942
δέκτο|n23944
δέκτρια|n23946
δέκτωρ|n23947
δέκων|n23950
δέλεαρ|n23955
δέλετρον|n23962
δέλλει|n23966
δέλλις1|@
δέλλις2|@
δέλλις|@
δέλος|n23971
δέλτα|n23972
δέλτος1|@
δέλτος2|@
δέλτος|@
δέλφαξ|n23988
δέλφιξ|n24001
δέλφος|n24004
δέμα|n24006
δέμας|n24007
δέματρος|n24009
δέμει|n24010
δέμνιον|n24012
δέμω|n24014
δένδρειος|n24020
δένδρεον|n24022
δένδρινος|n24027
δένδρον|n24044
δένδρος|n24046
δένδρωμα|n24063
δένδρωσις|n24065
δέννος|n24070
δέννω|n24071
δέξιμος|n24078
δέξις|n24093
δέξο|n24100
δέον|n24103
δέος2|n24107
δέος|n24107
δέπας|n24109
δέπαστρον|n24111
δέρα|n24112
δέραιον|n24115
δέρας|n24118
δέργμα|n24120
δέρεθρον|n24122
δέρις|n24125
δέρκομαι|n24129
δέρμα|n24132
δέρμη|n24147
δέρμητες|n24149
δέρξις|n24153
δέρον|n24155
δέρος|n24156
δέρρη|n24157
δέρριον|n24159
δέρρις|n24160
δέρτρον|n24163
δέρω|n24164
δέρϝα|n24123
δέσις|n24166
δέσκαλος|n24167
δέσμα|n24168
δέσμη1|n24175
δέσμη|n24175
δέσμημα|n24177
δέσμιον|n24180
δέσμιος|n24181
δέσποινα|n24193
δέσποσμα|n24197
δέσποτις|n24209
δέστρον|n24212
δέτις|n24214
δέτρον|n24216
δέφυρα|n24280
δέφω|n24281
δέχαται|n24284
δέχνυμαι|n24287
δέχομαι|n24289
δέψα|n24290
δέψω|n24291
δέω1|@
δέω2|@
δέω3|@
δέω|@
δή1|n24295
δή|n24295
